method,seed,accuracy,f1,roc_auc,log_loss,membership_attack_auc,membership_advantage,wall_time_seconds,raw_data_bytes_shared,model_communication_bytes,total_estimated_bytes,mean_preclip_update_norm,privacy_mechanism,topology,secure_aggregation
Centralized,7,0.9230769230769231,0.9385474860335196,0.9844863731656185,0.18090765037524523,0.523790894420265,0.047581788840530104,0.04540385500001776,957648,0,957648,0.0,None; raw training data pooled,Central server with centralized data,False
FedAvg,7,0.9230769230769231,0.9392265193370166,0.9853249475890986,0.15603974076389768,0.5200743312631424,0.040148662526284795,0.13439978299993527,0,944160,944160,0.13651703640292084,Data minimization only,Coordinator-based federated learning,False
Secure FedAvg,7,0.9230769230769231,0.9392265193370166,0.9853249475890986,0.15603974076389485,0.5200743312631424,0.040148662526284795,0.12411609499997667,0,944160,944160,0.1365170364029215,Pairwise-mask secure aggregation simulation,Coordinator-based federated learning,True
DP-FedAvg (moderate),7,0.9020979020979021,0.9204545454545454,0.9765199161425577,0.2092426984374093,0.5590004401193213,0.11800088023864252,0.126530750000029,0,944160,944160,0.1578307545799746,Clipping + central Gaussian noise + secure aggregation simulation,Coordinator-based federated learning,True
DP-FedAvg (strong),7,0.8041958041958042,0.8271604938271605,0.909853249475891,0.8143146968772954,0.5759205829135899,0.15184116582717988,0.13275843200005966,0,944160,944160,0.30595566323422213,Stronger central Gaussian noise + secure aggregation simulation,Coordinator-based federated learning,True
GossipAvg,7,0.9230769230769231,0.9385474860335196,0.9842767295597484,0.1614813534765738,0.5165044745464326,0.033008949092865114,0.1388108649999822,0,1348800,1348800,0.11152977260777003,Peer-to-peer data minimization,Serverless ring gossip,False
Local-DP Gossip,7,0.9230769230769231,0.9385474860335196,0.9719077568134172,0.21315609004491784,0.5142549757934374,0.02850995158687475,0.15274601999999504,0,1348800,1348800,0.1336756672630097,Client update clipping + local Gaussian noise,Serverless ring gossip,False
Centralized,21,0.972027972027972,0.978021978021978,0.9970649895178197,0.07350619149699768,0.5571910606875641,0.11438212137512815,0.04062861399995654,957648,0,957648,0.0,None; raw training data pooled,Central server with centralized data,False
FedAvg,21,0.9790209790209791,0.9834254143646409,0.9989517819706498,0.08943115726017407,0.5544525404665264,0.10890508093305273,0.12227203399993414,0,944160,944160,0.13550620373654992,Data minimization only,Coordinator-based federated learning,False
Secure FedAvg,21,0.9790209790209791,0.9834254143646409,0.9989517819706498,0.08943115726017596,0.5544525404665264,0.10890508093305273,0.12763266199999634,0,944160,944160,0.13550620373655028,Pairwise-mask secure aggregation simulation,Coordinator-based federated learning,True
DP-FedAvg (moderate),21,0.9370629370629371,0.9497206703910615,0.9870020964360587,0.15559156538110824,0.5623257861020099,0.12465157220401979,0.12637163399995188,0,944160,944160,0.16463857996737327,Clipping + central Gaussian noise + secure aggregation simulation,Coordinator-based federated learning,True
DP-FedAvg (strong),21,0.8041958041958042,0.825,0.9184486373165618,0.8611962977053561,0.5581446525502469,0.11628930510049384,0.12574038000002474,0,944160,944160,0.33688351942545175,Stronger central Gaussian noise + secure aggregation simulation,Coordinator-based federated learning,True
GossipAvg,21,0.986013986013986,0.989010989010989,0.9991614255765199,0.09453418994171324,0.552349748153944,0.104699496307888,0.14487668699996448,0,1348800,1348800,0.11118681611460235,Peer-to-peer data minimization,Serverless ring gossip,False
Local-DP Gossip,21,0.965034965034965,0.9717514124293786,0.9979035639412999,0.11358500998132338,0.5535233996772458,0.10704679935449168,0.14284910500009573,0,1348800,1348800,0.14117835902509096,Client update clipping + local Gaussian noise,Serverless ring gossip,False
Centralized,42,0.9370629370629371,0.9485714285714286,0.9905660377358491,0.14560772412136713,0.6005428138295271,0.20108562765905424,0.04071939899995414,957648,0,957648,0.0,None; raw training data pooled,Central server with centralized data,False
FedAvg,42,0.9230769230769231,0.9371428571428572,0.9905660377358491,0.14954801020545166,0.6051640667025282,0.2103281334050564,0.12255359999994653,0,944160,944160,0.12462743111055688,Data minimization only,Coordinator-based federated learning,False
Secure FedAvg,42,0.9230769230769231,0.9371428571428572,0.9905660377358491,0.14954801020544858,0.6051640667025282,0.2103281334050564,0.12476639699991665,0,944160,944160,0.12462743111055648,Pairwise-mask secure aggregation simulation,Coordinator-based federated learning,True
DP-FedAvg (moderate),42,0.916083916083916,0.9302325581395349,0.9805031446540882,0.2059409764528993,0.5772653919507067,0.1545307839014134,0.12558773299997483,0,944160,944160,0.1549031126470841,Clipping + central Gaussian noise + secure aggregation simulation,Coordinator-based federated learning,True
