seed,client_id,samples,positive_ratio
7,0,29,1.0
7,1,56,0.8571428571428571
7,2,63,0.031746031746031744
7,3,37,0.918918918918919
7,4,37,0.08108108108108109
7,5,71,0.6619718309859155
7,6,31,0.9354838709677419
7,7,30,0.3
7,8,30,0.8666666666666667
7,9,42,0.9523809523809523
21,0,18,0.5
21,1,62,0.8225806451612904
21,2,50,0.74
21,3,29,0.6206896551724138
21,4,50,0.58
21,5,34,0.9705882352941176
21,6,30,0.6666666666666666
21,7,21,1.0
21,8,83,0.20481927710843373
21,9,49,0.6530612244897959
42,0,62,0.8709677419354839
42,1,24,0.9583333333333334
42,2,23,0.7391304347826086
42,3,87,0.42528735632183906
42,4,48,0.20833333333333334
42,5,18,0.6111111111111112
42,6,15,0.5333333333333333
42,7,29,0.27586206896551724
42,8,51,0.9803921568627451
42,9,69,0.7101449275362319
84,0,24,0.9583333333333334
84,1,85,0.5294117647058824
84,2,46,0.4782608695652174
84,3,126,0.9682539682539683
84,4,23,0.0
84,5,21,0.0
84,6,13,0.07692307692307693
84,7,51,0.8823529411764706
84,8,13,0.38461538461538464
84,9,24,0.16666666666666666
126,0,15,0.0
126,1,108,0.9444444444444444
126,2,31,0.22580645161290322
126,3,15,0.8
126,4,24,0.041666666666666664
126,5,15,0.06666666666666667
126,6,56,0.0
126,7,128,1.0
126,8,19,0.7894736842105263
126,9,15,0.06666666666666667
